name,gender,ratio,females,males,total
Michael,M,100,1963,433277,435240
James,M,100,1391,342651,344042
David,M,100,1139,330092,331231
John,M,100,1095,320621,321716
Robert,M,100,1206,304120,305326
William,M,100,855,253873,254728
Christopher,M,100,878,212847,213725
Joseph,M,100,669,192446,193115
Daniel,M,100,709,184348,185057
Thomas,M,100,529,174112,174641
Mary,F,100,167932,499,168431
Richard,M,100,572,167707,168279
Matthew,M,100,468,166568,167036
Jennifer,F,100,150325,482,150807
Mark,M,100,452,141477,141929
Charles,M,100,632,140054,140686
Anthony,M,100,621,138616,139237
Joshua,M,100,480,135633,136113
Linda,F,100,132736,295,133031
Steven,M,100,457,132195,132652
Andrew,M,100,363,127442,127805
Kevin,M,100,502,124361,124863
Elizabeth,F,100,123412,360,123772
Brian,M,100,468,119256,119724
Timothy,M,100,437,111943,112380
Jason,M,100,502,108834,109336
Jessica,F,100,106044,313,106357
Jacob,M,100,211,105659,105870
Patricia,F,100,104588,307,104895
Susan,F,100,100703,227,100930
Jeffrey,M,100,386,100543,100929
Ryan,M,97,2596,98108,100704
Nicholas,M,100,277,97105,97382
Lisa,F,100,96700,306,97006
Eric,M,100,454,95885,96339
Paul,M,100,341,95899,96240
Kenneth,M,100,372,94889,95261
Sarah,F,100,94168,212,94380
Kimberly,F,100,92119,387,92506
Jonathan,M,100,314,92162,92476
Justin,M,100,389,89866,90255
Karen,F,100,89076,229,89305
Michelle,F,100,87901,343,88244
Amanda,F,100,86377,204,86581
Emily,F,100,85607,160,85767
Ashley,F,98,81686,1537,83223
Melissa,F,100,82734,274,83008
Stephen,M,100,259,80944,81203
Scott,M,100,255,79911,80166
Barbara,F,100,79228,176,79404
Ronald,M,100,283,78349,78632
Benjamin,M,100,223,77562,77785
Stephanie,F,100,77138,262,77400
Gary,M,100,267,76476,76743
Donald,M,100,260,75657,75917
Brandon,M,100,314,73764,74078
Alexander,M,99,452,73610,74062
Sandra,F,100,73239,212,73451
Gregory,M,100,255,72795,73050
Rebecca,F,100,70296,165,70461
Donna,F,100,69390,163,69553
Edward,M,100,289,69053,69342
Laura,F,100,69086,217,69303
Deborah,F,100,68494,151,68645
Samuel,M,100,209,68353,68562
Amy,F,100,68285,171,68456
Angela,F,100,67747,206,67953
Nancy,F,100,66087,204,66291
Cynthia,F,100,66089,198,66287
Patrick,M,100,270,65101,65371
Larry,M,100,318,64521,64839
Samantha,F,100,64544,129,64673
Tyler,M,98,1584,61980,63564
Nicole,F,100,62520,200,62720
George,M,99,329,61404,61733
Aaron,M,99,435,61209,61644
Brenda,F,100,61372,180,61552
Jordan,M,75,15181,45427,60608
Nathan,M,100,150,60302,60452
Kathleen,F,100,59223,119,59342
Sharon,F,100,58920,202,59122
Kelly,F,86,50103,8202,58305
Jose,M,99,406,57788,58194
Zachary,M,100,151,57865,58016
Adam,M,100,183,57742,57925
Pamela,F,100,56986,149,57135
Emma,F,100,57016,58,57074
Ethan,M,100,75,56910,56985
Olivia,F,100,56881,76,56957
Christine,F,100,53650,163,53813
Heather,F,100,53570,144,53714
Dennis,M,100,196,53409,53605
Lauren,F,99,52754,371,53125
Noah,M,99,271,52701,52972
Katherine,F,100,52784,130,52914
Rachel,F,100,52332,128,52460
Julie,F,100,52217,149,52366
Kyle,M,98,977,50661,51638
Carol,F,99,51177,275,51452
Christian,M,96,2184,48161,50345
Victoria,F,100,49663,121,49784
Maria,F,99,49297,339,49636
Christina,F,100,48702,181,48883
Douglas,M,100,145,48720,48865
Hannah,F,100,48526,69,48595
Sophia,F,100,48384,54,48438
Margaret,F,100,47155,113,47268
Anna,F,100,47109,119,47228
Terry,M,81,8949,38192,47141
Isabella,F,100,46476,57,46533
Jeremy,M,99,233,46197,46430
Megan,F,100,45972,99,46071
Peter,M,100,151,45300,45451
Abigail,F,100,45296,68,45364
Madison,F,99,44794,485,45279
Sean,M,99,272,44711,44983
Andrea,F,99,44361,561,44922
Brittany,F,100,44619,119,44738
Logan,M,94,2870,41440,44310
Taylor,F,73,32277,11985,44262
Alexis,F,85,37342,6800,44142
Diane,F,100,43317,105,43422
Dylan,M,96,1560,41839,43399
Jerry,M,98,717,42538,43255
Jack,M,100,82,43117,43199
Debra,F,100,42509,106,42615
Gabriel,M,98,788,41477,42265
Cheryl,F,100,41877,100,41977
Raymond,M,100,196,41682,41878
Catherine,F,100,41505,103,41608
Mason,M,99,323,40604,40927
Keith,M,100,195,39890,40085
Frank,M,100,155,39868,40023
Bryan,M,100,193,39701,39894
Teresa,F,100,39612,102,39714
Kayla,F,100,39514,44,39558
Austin,M,99,460,38872,39332
Cameron,M,91,3467,35636,39103
Amber,F,100,38714,98,38812
Janet,F,100,38641,87,38728
Tiffany,F,100,38477,129,38606
Natalie,F,100,38508,77,38585
Henry,M,100,161,38248,38409
Tammy,F,100,37990,170,38160
Shannon,F,86,32647,5220,37867
Lori,F,100,37744,102,37846
Elijah,M,100,123,37563,37686
Angel,M,72,10393,27076,37469
Alyssa,F,100,37328,51,37379
Sara,F,100,37166,113,37279
Tracy,F,85,31234,5678,36912
Juan,M,99,248,36573,36821
Jesse,M,97,1211,35288,36499
Jamie,F,76,27532,8714,36246
Denise,F,100,35973,117,36090
Danielle,F,99,35874,206,36080
Kathryn,F,100,35435,65,35500
Shawn,M,90,3501,31998,35499
Jacqueline,F,100,34940,106,35046
Carolyn,F,100,34948,79,35027
Caleb,M,100,70,34777,34847
Erin,F,97,33767,1039,34806
Kathy,F,100,34563,83,34646
Travis,M,100,172,34376,34548
Jayden,M,93,2578,31876,34454
Bradley,M,99,180,34161,34341
Ava,F,100,33911,31,33942
Julia,F,100,33690,100,33790
Lucas,M,100,50,33698,33748
Allison,F,99,33465,199,33664
Craig,M,100,109,33519,33628
Luke,M,100,58,33525,33583
Grace,F,100,33309,35,33344
Crystal,F,100,32821,115,32936
Leslie,F,82,26972,5872,32844
Liam,M,100,66,32518,32584
Randy,M,98,504,32038,32542
Isaac,M,100,68,32461,32529
Alan,M,100,113,32373,32486
Evan,M,99,424,31910,32334
Diana,F,100,32178,105,32283
Robin,F,88,27996,3941,31937
Bruce,M,100,93,31742,31835
Hunter,M,96,1300,30466,31766
Roger,M,100,125,31371,31496
Jackson,M,100,69,31295,31364
Courtney,F,92,28425,2368,30793
Dawn,F,100,30546,92,30638
Carlos,M,99,191,30162,30353
Luis,M,99,165,30081,30246
Tina,F,100,29924,92,30016
Aiden,M,99,221,29716,29937
Cody,M,98,507,29143,29650
Theresa,F,100,29489,92,29581
Mia,F,100,29534,34,29568
Adrian,M,94,1626,27935,29561
Vincent,M,100,104,29330,29434
Janice,F,100,29207,83,29290
Brianna,F,100,29141,34,29175
Chloe,F,100,28895,30,28925
Jasmine,F,99,28584,147,28731
Wendy,F,100,28395,116,28511
Derek,M,100,102,28093,28195
Phillip,M,100,138,27894,28032
Todd,M,100,95,27900,27995
Evelyn,F,100,27876,65,27941
Melanie,F,100,27808,79,27887
Morgan,F,85,23773,4094,27867
Charlotte,F,100,27822,44,27866
Danny,M,100,131,27458,27589
Nathaniel,M,100,97,27492,27589
Joel,M,99,212,27243,27455
Victor,M,100,133,27134,27267
Alex,M,97,884,26333,27217
Cindy,F,100,27089,75,27164
Ann,F,100,26745,68,26813
Ian,M,100,66,26711,26777
Carl,M,99,174,26479,26653
Lawrence,M,100,116,26438,26554
Johnny,M,99,245,26257,26502
Judy,F,100,26306,71,26377
Isaiah,M,100,55,26241,26296
Vanessa,F,100,26141,89,26230
April,F,100,26043,78,26121
Leah,F,100,25933,56,25989
Valerie,F,100,25863,86,25949
Shirley,F,99,25642,155,25797
Antonio,M,99,166,25396,25562
Joyce,F,100,25452,92,25544
Russell,M,100,96,25360,25456
Marcus,M,99,138,25261,25399
Gerald,M,99,136,25257,25393
Judith,F,100,25312,48,25360
Alexandra,F,100,25175,95,25270
Julian,M,99,318,24855,25173
Erica,F,100,24899,96,24995
Jeremiah,M,100,66,24771,24837
Dana,F,80,19820,4956,24776
Avery,F,74,18375,6394,24769
Philip,M,100,70,24608,24678
Wayne,M,100,81,24477,24558
Paula,F,100,24339,73,24412
Connor,M,100,116,24248,24364
Monica,F,100,24261,103,24364
Kristen,F,99,23896,224,24120
Riley,F,55,13102,10801,23903
Jesus,M,99,202,23634,23836
Chad,M,100,66,23719,23785
Betty,F,100,23645,68,23713
Walter,M,99,120,23473,23593
Martin,M,100,99,23353,23452
Gloria,F,100,23275,100,23375
Alicia,F,100,23139,55,23194
Willie,M,91,2183,20970,23153
Jeffery,M,99,136,22901,23037
Tony,M,99,232,22638,22870
Carter,M,97,661,22184,22845
Joe,M,98,432,22365,22797
Brooke,F,99,22570,215,22785
Jared,M,100,94,22661,22755
Dustin,M,99,131,22408,22539
Ricky,M,99,185,22333,22518
Martha,F,100,22412,77,22489
Ella,F,100,22435,32,22467
Michele,F,99,22226,233,22459
Gavin,M,100,32,22422,22454
Connie,F,99,22030,285,22315
Sherry,F,100,22086,78,22164
Bonnie,F,99,22025,133,22158
Blake,M,95,1181,20911,22092
Dale,M,92,1665,20387,22052
Owen,M,100,52,21834,21886
Sebastian,M,100,29,21847,21876
Audrey,F,100,21759,107,21866
Beverly,F,100,21754,105,21859
Jimmy,M,99,139,21716,21855
Billy,M,99,250,21588,21838
Landon,M,100,75,21733,21808
Lillian,F,100,21743,28,21771
Corey,M,96,884,20717,21601
Arthur,M,99,111,21476,21587
Debbie,F,100,21470,39,21509
Shane,M,98,325,21077,21402
Kristin,F,99,21187,181,21368
Rhonda,F,100,21283,45,21328
Rodney,M,99,113,21157,21270
Steve,M,100,67,21200,21267
Jane,F,100,21191,48,21239
Kim,F,88,18578,2492,21070
Troy,M,99,274,20690,20964
Katie,F,100,20882,43,20925
Chase,M,98,320,20602,20922
Curtis,M,99,140,20731,20871
Jill,F,100,20749,47,20796
Sheila,F,100,20696,50,20746
Bobby,M,97,533,20210,20743
Wyatt,M,100,36,20666,20702
Holly,F,100,20574,76,20650
Sydney,F,97,19992,540,20532
Hailey,F,100,20461,18,20479
Anne,F,100,20356,58,20414
Virginia,F,100,20312,56,20368
Caroline,F,100,20278,36,20314
Lynn,F,84,16914,3296,20210
Randall,M,99,125,19934,20059
Wesley,M,99,208,19831,20039
Casey,M,59,8122,11759,19881
Allen,M,99,113,19734,19847
Albert,M,100,92,19680,19772
Veronica,F,100,19598,73,19671
Levi,M,99,110,19418,19528
Amelia,F,100,19504,8,19512
Addison,F,94,18329,1148,19477
Miguel,M,99,115,19338,19453
Savannah,F,100,19436,17,19453
Roy,M,99,101,19349,19450
Alice,F,100,19026,26,19052
Stacy,F,89,16942,2081,19023
Lee,M,77,4291,14702,18993
Ruth,F,100,18917,53,18970
Dorothy,F,100,18853,58,18911
Suzanne,F,100,18851,39,18890
Dominic,M,99,113,18758,18871
Sofia,F,100,18742,16,18758
Mike,M,100,56,18700,18756
Louis,M,99,113,18596,18709
Cassandra,F,100,18562,37,18599
Chelsea,F,100,18551,38,18589
Seth,M,100,35,18458,18493
Kaitlyn,F,100,18469,18,18487
Lily,F,100,18405,15,18420
Claire,F,100,18317,29,18346
Jean,F,90,16388,1899,18287
Tara,F,100,18210,67,18277
Renee,F,99,18096,180,18276
Peyton,F,63,11463,6677,18140
Molly,F,100,17990,39,18029
Devin,M,89,2011,15947,17958
Chris,M,87,2354,15582,17936
Laurie,F,99,17825,96,17921
Erik,M,100,79,17796,17875
Rose,F,100,17780,60,17840
Cathy,F,100,17752,42,17794
Peggy,F,100,17624,39,17663
Harold,M,100,81,17570,17651
Joan,F,97,17042,604,17646
Marilyn,F,100,17611,30,17641
Brayden,M,99,118,17519,17637
Destiny,F,100,17500,55,17555
Carrie,F,100,17430,65,17495
Aubrey,F,91,15801,1616,17417
Colton,M,100,22,17360,17382
Trevor,M,100,73,17287,17360
Oliver,M,100,25,17316,17341
Jay,M,99,178,17144,17322
Marie,F,100,17243,74,17317
Eli,M,100,77,17159,17236
Brett,M,98,306,16929,17235
Wanda,F,100,17096,50,17146
Helen,F,100,16997,45,17042
Parker,M,86,2319,14533,16852
Zoe,F,100,16774,71,16845
Glenn,M,99,101,16713,16814
Xavier,M,100,74,16493,16567
Mackenzie,F,96,15725,717,16442
Stacey,F,92,15039,1382,16421
Kelsey,F,97,15905,493,16398
Kaylee,F,100,16361,24,16385
Ellen,F,100,16319,31,16350
Calvin,M,100,81,16151,16232
Ronnie,M,96,582,15584,16166
Haley,F,100,16032,78,16110
Gina,F,100,16038,54,16092
Faith,F,100,15969,49,16018
Sabrina,F,100,15963,40,16003
Jon,M,99,101,15890,15991
Gail,F,98,15688,261,15949
Derrick,M,99,92,15833,15925
Barry,M,100,75,15827,15902
Ralph,M,100,66,15810,15876
Beth,F,100,15839,32,15871
Regina,F,100,15805,58,15863
Madeline,F,100,15788,24,15812
Gabriella,F,100,15799,11,15810
Alejandro,M,99,106,15658,15764
Marc,M,100,67,15650,15717
Gabrielle,F,99,15634,79,15713
Paige,F,99,15590,105,15695
Heidi,F,100,15618,42,15660
Mitchell,M,99,94,15556,15650
Cole,M,100,49,15480,15529
Frederick,M,100,66,15454,15520
Alexa,F,100,15404,30,15434
Micheal,M,99,186,15241,15427
Garrett,M,100,49,15341,15390
Lindsey,F,97,14877,513,15390
Frances,F,99,15178,118,15296
Colleen,F,100,15249,35,15284
Vicki,F,100,15197,27,15224
Mario,M,99,98,15116,15214
Dean,M,99,127,15082,15209
Brent,M,99,82,15119,15201
Brooklyn,F,99,14969,193,15162
Oscar,M,100,67,15088,15155
Theodore,M,100,33,15057,15090
Terri,F,99,14982,99,15081
Autumn,F,100,15015,32,15047
Ricardo,M,100,60,14952,15012
Katelyn,F,100,14989,17,15006
Darlene,F,100,14915,39,14954
Rita,F,100,14899,48,14947
Eddie,M,97,406,14497,14903
Hayden,M,73,3953,10895,14848
Manuel,M,100,67,14730,14797
Kristina,F,100,14733,44,14777
Colin,M,100,60,14702,14762
Lydia,F,100,14729,22,14751
Stanley,M,100,65,14684,14749
Bailey,F,85,12475,2270,14745
Eugene,M,99,84,14633,14717
Carson,M,94,833,13857,14690
Carla,F,100,14645,43,14688
Josiah,M,100,32,14594,14626
Anita,F,100,14545,41,14586
Edwin,M,100,68,14477,14545
Jorge,M,99,76,14398,14474
Elaine,F,100,14419,33,14452
Cory,M,95,656,13766,14422
Annette,F,100,14335,44,14379
Bryce,M,98,310,13945,14255
Erika,F,100,14104,68,14172
Tamara,F,100,14036,42,14078
Eva,F,100,13960,39,13999
Leonard,M,100,58,13876,13934
Joanne,F,100,13878,30,13908
Tristan,M,96,569,13327,13896
Max,M,100,30,13858,13888
Melinda,F,100,13744,30,13774
Kylie,F,100,13689,50,13739
Francisco,M,99,91,13647,13738
Ariana,F,100,13691,23,13714
Jenna,F,100,13683,15,13698
Ruby,F,99,13554,88,13642
Darrell,M,99,95,13446,13541
Caitlin,F,100,13459,25,13484
Arianna,F,100,13460,13,13473
Tommy,M,99,167,13290,13457
Shelby,F,91,12289,1156,13445
Andre,M,99,175,13172,13347
Marvin,M,100,59,13255,13314
Zoey,F,100,13288,25,13313
Layla,F,100,13286,13,13299
Howard,M,100,54,13193,13247
Spencer,M,96,531,12636,13167
Makayla,F,100,13130,19,13149
Grant,M,100,27,13107,13134
Jeff,M,100,29,13095,13124
Harper,F,94,12345,765,13110
Ernest,M,99,79,12997,13076
Micah,M,90,1351,11684,13035
Jake,M,100,17,12960,12977
Deanna,F,100,12912,25,12937
Naomi,F,100,12839,12,12851
Ivan,M,100,59,12751,12810
Lucy,F,100,12783,13,12796
Lindsay,F,97,12365,403,12768
Harry,M,100,58,12709,12767
Carmen,F,94,11922,820,12742
Sylvia,F,100,12634,42,12676
Tonya,F,100,12636,36,12672
Nolan,M,100,38,12627,12665
Lance,M,100,41,12589,12630
Alison,F,100,12438,47,12485
Preston,M,99,72,12373,12445
Francis,M,91,1118,11235,12353
Jocelyn,F,100,12325,23,12348
Phyllis,F,100,12250,21,12271
Jackie,F,58,7137,5113,12250
Vivian,F,99,12181,62,12243
Tanya,F,100,12147,38,12185
Maxwell,M,100,53,12085,12138
Maya,F,100,12109,15,12124
Melvin,M,99,120,11960,12080
Maureen,F,100,12016,23,12039
Jaxon,M,100,44,11987,12031
Cooper,M,98,247,11757,12004
Sally,F,100,11915,39,11954
Dakota,M,68,3780,8157,11937
Miranda,F,100,11884,19,11903
Marissa,F,100,11788,29,11817
Darren,M,99,66,11714,11780
Diego,M,100,6,11750,11756
Grayson,M,96,475,11220,11695
Jaime,M,63,4342,7325,11667
Eduardo,M,99,62,11602,11664
Jessie,M,54,5352,6250,11602
Skylar,F,81,9379,2129,11508
Nora,F,100,11474,29,11503
Clayton,M,100,38,11413,11451
Yvonne,F,100,11408,41,11449
Madelyn,F,100,11440,0,11440
Ana,F,99,11322,73,11395
Ariel,F,83,9465,1876,11341
Trinity,F,98,11033,281,11314
Ayden,M,97,283,10982,11265
Melody,F,100,11242,16,11258
Kendall,F,67,7484,3742,11226
Mariah,F,100,11141,28,11169
Roberto,M,99,79,11075,11154
Javier,M,100,49,11100,11149
Payton,F,72,8065,3075,11140
Aaliyah,F,100,11052,11,11063
Charlie,M,77,2589,8449,11038
Tracey,F,93,10211,772,10983
Katrina,F,100,10951,18,10969
Isabel,F,99,10863,101,10964
Eileen,F,100,10916,18,10934
Leo,M,100,36,10896,10932
Adriana,F,100,10880,48,10928
Damian,M,100,39,10814,10853
Omar,M,100,45,10780,10825
Joy,F,99,10655,133,10788
Jo,F,99,10631,148,10779
Jaden,M,89,1221,9524,10745
Jerome,M,99,66,10674,10740
Ruben,M,99,77,10646,10723
Alexandria,F,100,10697,22,10719
Nevaeh,F,100,10689,22,10711
Hector,M,100,44,10663,10707
Christy,F,99,10576,108,10684
Fernando,M,100,51,10627,10678
Bethany,F,100,10644,23,10667
Kara,F,100,10633,26,10659
Kendra,F,100,10619,25,10644
Johnathan,M,100,18,10623,10641
Sophie,F,100,10623,6,10629
Brittney,F,100,10574,23,10597
Charlene,F,100,10537,25,10562
Yolanda,F,99,10483,71,10554
Brandy,F,98,10322,231,10553
Claudia,F,99,10420,63,10483
Fred,M,100,42,10439,10481
Brody,M,100,34,10437,10471
Stella,F,100,10456,13,10469
Jace,M,99,95,10363,10458
Kennedy,F,93,9720,737,10457
Kerry,M,51,5069,5300,10369
Edgar,M,100,40,10297,10337
Angelina,F,100,10303,5,10308
Jade,F,94,9654,652,10306
Sierra,F,100,10277,19,10296
Aidan,M,98,241,10044,10285
Vickie,F,100,10232,35,10267
Nicolas,M,100,21,10235,10256
Reginald,M,99,53,10200,10253
Tanner,M,98,229,9927,10156
Ashton,M,80,2051,8090,10141
Sadie,F,100,10136,5,10141
Whitney,F,96,9666,441,10107
Meghan,F,100,10042,26,10068
Brendan,M,100,30,10036,10066
Josephine,F,100,10049,7,10056
Annie,F,100,10025,21,10046
Joanna,F,100,10005,29,10034
Miles,M,100,34,9985,10019
Ray,M,99,123,9893,10016
Briana,F,100,9962,26,9988
Camila,F,100,9980,7,9987
Irene,F,100,9882,36,9918
Marsha,F,100,9876,27,9903
Jillian,F,100,9861,32,9893
Marcia,F,100,9866,21,9887
Kaleb,M,100,27,9857,9884
Joann,F,100,9762,41,9803
Natasha,F,100,9763,23,9786
Earl,M,99,59,9715,9774
Devon,M,75,2453,7316,9769
Toni,F,98,9607,152,9759
Brandi,F,100,9728,30,9758
Doris,F,99,9639,59,9698
Norman,M,99,68,9610,9678
Rosa,F,99,9567,61,9628
Bella,F,100,9594,15,9609
Jeanne,F,100,9591,18,9609
Elias,M,100,19,9585,9604
Nina,F,100,9575,22,9597
Darryl,M,99,92,9497,9589
Giovanni,M,99,84,9501,9585
Esther,F,100,9513,21,9534
Daisy,F,100,9500,31,9531
Eleanor,F,100,9523,0,9523
Monique,F,99,9472,51,9523
Tim,M,100,34,9488,9522
Jim,M,100,14,9504,9518
Priscilla,F,100,9437,29,9466
Brady,M,98,175,9290,9465
Alfred,M,99,51,9408,9459
Penny,F,100,9422,31,9453
Clifford,M,99,54,9392,9446
Scarlett,F,100,9426,0,9426
Genesis,F,98,9202,212,9414
Warren,M,100,44,9301,9345
Jeanette,F,100,9313,20,9333
Felicia,F,100,9293,27,9320
Jody,F,61,5626,3673,9299
Maurice,M,99,114,9169,9283
Kayden,M,88,1077,8202,9279
Clara,F,100,9238,18,9256
Andy,M,99,114,9141,9255
Gwendolyn,F,100,9205,20,9225
Collin,M,99,49,9156,9205
Clarence,M,99,64,9107,9171
Norma,F,99,9097,59,9156
Karla,F,100,9094,36,9130
Andres,M,100,35,9077,9112
Bentley,M,95,441,8651,9092
Becky,F,100,9051,12,9063
Lorraine,F,100,9037,16,9053
Angelica,F,100,9005,41,9046
Leon,M,99,58,8988,9046
Shelly,F,98,8887,152,9039
Emmanuel,M,100,36,9002,9038
Kelli,F,100,8993,40,9033
Khloe,F,100,9024,8,9032
Kristine,F,100,9009,17,9026
Drew,M,91,776,8247,9023
Bridget,F,100,9003,6,9009
Brad,M,100,31,8935,8966
Candace,F,100,8940,18,8958
Hope,F,100,8909,17,8926
Summer,F,100,8877,24,8901
Jenny,F,99,8824,52,8876
Gabriela,F,100,8834,28,8862
Don,M,99,58,8789,8847
Dalton,M,100,42,8801,8843
Abraham,M,100,22,8811,8833
Greg,M,100,14,8810,8824
Rosemary,F,100,8806,12,8818
Breanna,F,100,8805,5,8810
Roberta,F,99,8711,59,8770
Isabelle,F,100,8753,0,8753
Krista,F,100,8722,14,8736
Sue,F,100,8662,26,8688
Hudson,M,98,180,8504,8684
Bianca,F,100,8663,19,8682
Gianna,F,100,8682,0,8682
Kurt,M,100,19,8649,8668
Leonardo,M,100,25,8637,8662
Dwayne,M,99,61,8591,8652
Ellie,F,100,8588,37,8625
Tom,M,100,20,8561,8581
Desiree,F,100,8536,28,8564
Pedro,M,100,40,8505,8545
Serenity,F,100,8531,13,8544
Raul,M,99,48,8490,8538
Bryson,M,100,36,8495,8531
Shaun,M,96,344,8171,8515
Rafael,M,100,38,8473,8511
Glenda,F,100,8472,19,8491
Sergio,M,100,38,8444,8482
Alvin,M,99,53,8421,8474
Tyrone,M,99,78,8365,8443
Elena,F,100,8424,5,8429
Jodi,F,99,8326,98,8424
Erick,M,99,51,8338,8389
Cesar,M,100,32,8309,8341
Jordyn,F,91,7581,759,8340
Jonah,M,99,82,8235,8317
Misty,F,100,8286,20,8306
Sandy,F,92,7650,655,8305
Constance,F,100,8278,19,8297
Violet,F,100,8282,14,8296
Loretta,F,100,8266,25,8291
Harrison,M,100,30,8231,8261
Natalia,F,100,8234,5,8239
Duane,M,99,59,8174,8233
Neil,M,100,31,8199,8230
Santiago,M,100,5,8223,8228
Rachael,F,100,8204,19,8223
Quinn,F,53,4341,3876,8217
Kristi,F,100,8169,21,8190
Easton,M,99,114,8074,8188
Karl,M,99,73,8093,8166
Penelope,F,100,8156,0,8156
Bill,M,100,13,8140,8153
Juanita,F,100,8105,39,8144
Glen,M,99,42,8078,8120
Sherri,F,100,8078,24,8102
Rick,M,100,14,8075,8089
Bernard,M,100,34,8028,8062
Cecilia,F,100,8033,12,8045
Dianne,F,100,7946,0,7946
Kristy,F,100,7920,23,7943
Clinton,M,100,30,7901,7931
Skyler,M,59,3285,4642,7927
Annabelle,F,100,7925,0,7925
Jada,F,100,7877,24,7901
Roman,M,100,34,7864,7898
Franklin,M,99,51,7798,7849
Lois,F,99,7787,57,7844
Guadalupe,F,76,5943,1893,7836
London,F,84,6552,1271,7823
Marco,M,100,29,7792,7821
Shelley,F,99,7708,98,7806
Asher,M,98,128,7675,7803
Sawyer,M,82,1401,6396,7797
Candice,F,100,7776,19,7795
Marlene,F,100,7762,26,7788
Belinda,F,100,7759,24,7783
Leroy,M,99,62,7719,7781
Dan,M,100,25,7742,7767
Mckenzie,F,97,7533,230,7763
Rebekah,F,100,7740,17,7757
Meredith,F,98,7585,138,7723
Rylee,F,91,6918,714,7632
Lincoln,M,98,153,7453,7606
Miriam,F,100,7591,0,7591
Gage,M,100,20,7516,7536
Reagan,F,90,6759,767,7526
Gordon,M,100,16,7500,7516
Kate,F,100,7469,8,7477
Ryder,M,98,174,7303,7477
Jacquelyn,F,100,7441,14,7455
Mathew,M,100,22,7428,7450
Mya,F,100,7403,11,7414
Armando,M,100,32,7376,7408
Camille,F,99,7329,43,7372
Valeria,F,100,7359,11,7370
Liliana,F,100,7351,18,7369
Kaden,M,99,80,7274,7354
Gilbert,M,99,39,7314,7353
Jaxson,M,100,7,7303,7310
Kirk,M,100,33,7276,7309
Georgia,F,100,7294,11,7305
Terrence,M,99,56,7219,7275
Sheryl,F,100,7215,15,7230
Aria,F,99,7154,64,7218
Marshall,M,99,90,7120,7210
Camden,M,95,325,6853,7178
Jonathon,M,100,23,7115,7138
Elise,F,100,7117,5,7122
Dallas,M,81,1345,5696,7041
Rene,M,68,2215,4816,7031
Damien,M,100,18,6988,7006
Lonnie,M,94,389,6599,6988
Terrance,M,99,84,6894,6978
Caden,M,99,77,6871,6948
Israel,M,98,164,6783,6947
Lynda,F,100,6925,9,6934
Cheyenne,F,97,6681,236,6917
Nichole,F,100,6851,18,6869
Carly,F,100,6841,7,6848
Byron,M,100,20,6800,6820
Lewis,M,100,22,6781,6803
Braxton,M,99,84,6707,6791
Piper,F,100,6748,32,6780
Gracie,F,100,6773,0,6773
Juliana,F,100,6756,0,6756
Cassidy,F,95,6406,339,6745
Daniela,F,100,6710,18,6728
Maggie,F,100,6724,0,6724
Herbert,M,100,31,6691,6722
Dominique,F,62,4156,2554,6710
Jan,F,73,4920,1789,6709
Alana,F,100,6672,5,6677
Hazel,F,99,6629,47,6676
Cristian,M,98,128,6510,6638
Lilly,F,100,6608,0,6608
Everett,M,99,49,6540,6589
June,F,98,6482,106,6588
Cora,F,100,6579,5,6584
Daryl,M,94,418,6165,6583
Iris,F,100,6526,31,6557
Lorenzo,M,99,36,6520,6556
Trenton,M,100,6,6545,6551
Allan,M,100,19,6530,6549
Vernon,M,99,55,6468,6523
Sonya,F,100,6495,20,6515
Donovan,M,99,33,6474,6507
Louise,F,100,6457,30,6487
Krystal,F,100,6458,10,6468
Ramon,M,99,50,6399,6449
Julio,M,99,43,6404,6447
Kaitlin,F,100,6430,10,6440
Sonia,F,99,6375,37,6412
Tabitha,F,100,6390,19,6409
Karina,F,100,6379,22,6401
Kristopher,M,100,31,6369,6400
Reese,F,70,4472,1877,6349
Angelo,M,99,76,6270,6346
Ross,M,100,30,6316,6346
Joey,M,89,714,5619,6333
Traci,F,100,6292,28,6320
Robyn,F,98,6190,129,6319
Sidney,M,62,2389,3919,6308
Adrienne,F,99,6257,39,6296
Johnnie,M,74,1645,4642,6287
Damon,M,100,26,6249,6275
Kylee,F,99,6218,47,6265
Abby,F,100,6246,16,6262
Conner,M,99,49,6206,6255
Lloyd,M,100,26,6209,6235
Abel,M,100,12,6218,6230
Ezra,M,95,295,5932,6227
Kiara,F,99,6183,42,6225
Mikayla,F,100,6221,0,6221
Caitlyn,F,100,6220,0,6220
Aubree,F,100,6199,0,6199
Enrique,M,99,35,6151,6186
Kent,M,100,12,6169,6181
Yvette,F,100,6165,16,6181
Geraldine,F,100,6165,9,6174
Alberto,M,99,41,6110,6151
Wade,M,100,12,6118,6130
Weston,M,100,7,6094,6101
Gene,M,97,161,5930,6091
Perry,M,96,273,5810,6083
Dwight,M,100,23,6056,6079
Arlene,F,100,6057,13,6070
Alisha,F,100,6043,10,6053
Dillon,M,99,72,5972,6044
Allyson,F,100,6034,5,6039
Darius,M,99,32,6004,6036
Simon,M,100,6,6022,6028
Mateo,M,100,5,6020,6025
Josue,M,100,21,5979,6000
Felix,M,100,18,5971,5989
Sheri,F,100,5961,18,5979
Kaiden,M,97,191,5784,5975
Roxanne,F,100,5954,5,5959
